CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|MNR|MAS-IPSP|LIBRES|MTS|FRI|VOCES|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
7001901|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|1|220|0|57|28|4|1|33|123|1|6|130|123|130
7001911|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|2|220|0|65|33|0|0|48|146|0|13|159|146|159
7001921|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|3|220|0|74|23|5|2|34|138|0|3|141|138|141
7001931|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|4|220|0|48|39|1|3|36|127|0|6|133|127|133
7001941|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|5|220|0|55|25|5|3|45|133|1|3|137|133|137
7001951|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|6|220|0|50|27|4|2|56|139|1|5|145|139|145
7001961|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|7|220|0|75|27|0|1|39|142|0|9|151|142|151
7001971|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|8|220|0|62|27|3|1|47|140|0|8|148|140|148
7001981|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|9|220|0|57|21|2|4|9|93|4|9|106|93|106
7001991|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|10|220|0|73|38|4|0|32|147|1|7|155|147|155
7002001|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|11|220|0|41|31|1|0|59|132|0|10|142|132|142
7002011|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|12|220|0|57|41|3|1|41|143|0|11|154|143|154
7002021|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|13|220|0|57|26|10|0|36|129|3|14|146|129|146
7002031|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25410|U.E. Tomas Morales Padilla|14|119|0|36|11|4|1|24|76|1|8|85|76|85
7002041|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25675|U.E.  Juan Pablo II EPDB|1|220|0|48|47|1|2|42|140|0|8|148|140|148
7002051|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25675|U.E.  Juan Pablo II EPDB|2|220|0|42|48|1|1|52|144|1|3|148|144|148
7002061|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25675|U.E.  Juan Pablo II EPDB|3|220|0|34|32|8|6|51|131|0|11|142|131|142
7002071|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25675|U.E.  Juan Pablo II EPDB|4|101|0|21|18|1|0|26|66|0|0|66|66|66
7002081|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|26350|U. E. Paraiso I|1|106|0|36|10|3|0|18|67|0|3|70|67|70
7002091|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|26351|U. E. Metropolitana II|1|220|0|59|23|15|1|45|143|1|9|153|143|153
7002101|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|26351|U. E. Metropolitana II|2|97|0|26|6|10|0|25|67|1|3|71|67|71
7002111|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|26395|U.E. Oscar Adriasola Valda|1|54|0|8|7|1|0|24|40|0|1|41|40|41
7002121|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25674|U.E. Hna. Maria del Pilar Mateo|1|220|0|32|65|0|1|46|144|0|2|146|144|146
7002131|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25674|U.E. Hna. Maria del Pilar Mateo|2|132|0|17|45|2|1|35|100|0|1|101|100|101
7002141|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|1|220|0|26|37|10|2|67|142|0|5|147|142|147
7002151|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|2|220|0|33|42|18|1|57|151|2|5|158|151|158
7002161|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|3|220|0|30|37|15|1|65|148|1|7|156|148|156
7002171|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|4|220|0|40|27|13|0|61|141|0|8|149|141|149
7002181|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|5|220|0|33|35|17|1|62|148|0|4|152|148|152
7002191|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|6|220|0|21|32|13|2|69|137|2|4|143|137|143
7002201|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|7|220|0|37|46|15|2|57|157|0|3|160|157|160
